Player,Nation,Pos,Squad,keepers_Age,keepers_Born,keepers_Playing Time_MP,keepers_Playing Time_Starts,keepers_Playing Time_Min,keepers_Playing Time_90s,keepers_Performance_GA,keepers_Performance_GA90,keepers_Performance_SoTA,keepers_Performance_Saves,keepers_Performance_Save%,keepers_Performance_W,keepers_Performance_D,keepers_Performance_L,keepers_Performance_CS,keepers_Performance_CS%,keepers_Penalty Kicks_PKatt,keepers_Penalty Kicks_PKA,keepers_Penalty Kicks_PKsv,keepers_Penalty Kicks_PKm,keepers_Penalty Kicks_Save%,keepers_Matches
Alisson,br BRA,GK,Liverpool,32-191,1992,21,21,"1,878",20.9,18,0.86,64,46,71.9,15,5,1,8,38.1,0,0,0,0,,Matches
Alphonse Areola,fr FRA,GK,West Ham,32-043,1993,20,19,"1,720",19.1,32,1.67,84,55,61.9,4,5,10,4,21.1,0,0,0,0,,Matches
Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-190,1994,24,24,"2,160",24.0,33,1.37,109,76,73.4,10,5,9,5,20.8,4,4,0,0,0.0,Matches
Brandon Austin,eng ENG,GK,Tottenham,26-093,1999,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-086,1989,10,10,900,10.0,12,1.20,41,29,70.7,7,0,3,5,50.0,0,0,0,0,,Matches
Ederson,br BRA,GK,Manchester City,31-237,1993,21,21,"1,890",21.0,23,1.10,71,49,70.4,12,3,6,7,33.3,2,2,0,0,0.0,Matches
Łukasz Fabiański,pl POL,GK,West Ham,39-358,1985,13,12,"1,070",11.9,20,1.68,67,47,74.6,5,3,4,2,16.7,3,3,0,0,0.0,Matches
Mark Flekken,nl NED,GK,Brentford,31-302,1993,30,30,"2,645",29.4,45,1.53,170,127,74.1,12,6,12,5,16.7,1,1,0,0,0.0,Matches
Fraser Forster,eng ENG,GK,Tottenham,37-025,1988,7,7,630,7.0,15,2.14,42,27,69.0,1,2,4,1,14.3,2,2,0,0,0.0,Matches
Dean Henderson,eng ENG,GK,Crystal Palace,28-030,1997,30,30,"2,700",30.0,35,1.17,116,82,70.7,11,10,9,9,30.0,2,1,1,0,50.0,Matches
Mads Hermansen,dk DEN,GK,Leicester City,24-274,2000,24,24,"2,115",23.5,52,2.21,135,85,62.2,3,5,16,1,4.2,2,1,1,0,50.0,Matches
Vitezslav Jaros,cz CZE,GK,Liverpool,23-262,2001,1,0,12,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches
Sam Johnstone,eng ENG,GK,Wolves,32-017,1993,7,7,630,7.0,17,2.43,39,23,61.5,0,1,6,0,0.0,2,2,0,0,0.0,Matches
Filip Jørgensen,dk DEN,GK,Chelsea,22-360,2002,6,6,540,6.0,9,1.50,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0.0,Matches
Caoimhín Kelleher,ie IRL,GK,Liverpool,26-139,1998,10,10,900,10.0,12,1.20,37,24,67.6,7,2,1,4,40.0,1,0,1,0,100.0,Matches
Antonín Kinský,cz CZE,GK,Tottenham,22-029,2003,4,4,360,4.0,7,1.75,16,11,56.3,1,0,3,1,25.0,0,0,0,0,,Matches
Bernd Leno,de GER,GK,Fulham,33-038,1992,31,31,"2,790",31.0,42,1.35,126,86,68.3,13,9,9,5,16.1,2,2,0,0,0.0,Matches
Joe Lumley,eng ENG,GK,Southampton,30-055,1995,3,3,270,3.0,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,,Matches
Emiliano Martínez,ar ARG,GK,Aston Villa,32-221,1992,30,30,"2,610",29.0,42,1.45,118,75,65.3,13,9,8,4,13.3,2,1,1,0,50.0,Matches
Alex McCarthy,eng ENG,GK,Southampton,35-129,1989,5,5,450,5.0,13,2.60,37,24,70.3,0,0,5,0,0.0,2,2,0,0,0.0,Matches
Arijanet Muric,xk KVX,GK,Ipswich Town,26-155,1998,18,18,"1,620",18.0,33,1.83,100,67,70.0,2,6,10,1,5.6,3,3,0,0,0.0,Matches
Neto,br BRA,GK,Bournemouth,35-266,1989,2,2,180,2.0,2,1.00,13,11,84.6,0,2,0,0,0.0,0,0,0,0,,Matches
Robin Olsen,se SWE,GK,Aston Villa,35-093,1990,3,1,180,2.0,4,2.00,9,5,55.6,1,0,0,1,100.0,0,0,0,0,,Matches
André Onana,cm CMR,GK,Manchester Utd,29-009,1996,31,31,"2,790",31.0,41,1.32,126,85,69.8,10,8,13,9,29.0,4,3,1,0,25.0,Matches
Stefan Ortega,de GER,GK,Manchester City,32-156,1992,10,10,900,10.0,17,1.70,44,28,63.6,3,4,3,2,20.0,1,1,0,0,0.0,Matches
Alex Palmer,eng ENG,GK,Ipswich Town,28-244,1996,7,7,630,7.0,16,2.29,40,25,60.0,1,1,5,0,0.0,0,0,0,0,,Matches
Jordan Pickford,eng ENG,GK,Everton,31-035,1994,31,31,"2,790",31.0,38,1.23,126,86,69.8,7,14,10,9,29.0,2,0,2,0,100.0,Matches
Nick Pope,eng ENG,GK,Newcastle Utd,32-357,1992,20,20,"1,800",20.0,27,1.35,88,62,70.5,9,5,6,5,25.0,1,1,0,0,0.0,Matches
Hákon Rafn Valdimarsson,is ISL,GK,Brentford,23-180,2001,2,1,145,1.6,2,1.24,4,3,50.0,0,0,1,1,100.0,0,0,0,0,,Matches
Aaron Ramsdale,eng ENG,GK,Southampton,26-332,1998,23,23,"2,070",23.0,54,2.35,150,96,67.3,2,3,18,2,8.7,5,5,0,0,0.0,Matches
David Raya,es ESP,GK,Arsenal,29-208,1995,31,31,"2,790",31.0,26,0.84,100,74,77.0,17,11,3,11,35.5,3,3,0,0,0.0,Matches
José Sá,pt POR,GK,Wolves,32-084,1993,24,24,"2,160",24.0,42,1.75,100,59,62.0,9,4,11,6,25.0,5,4,1,0,20.0,Matches
Robert Sánchez,es ESP,GK,Chelsea,27-144,1997,25,25,"2,250",25.0,28,1.12,108,79,77.8,12,8,5,7,28.0,5,4,1,0,20.0,Matches
Matz Sels,be BEL,GK,Nott'ham Forest,33-044,1992,31,31,"2,790",31.0,37,1.19,136,99,74.3,17,6,8,13,41.9,2,2,0,0,0.0,Matches
Jason Steele,eng ENG,GK,Brighton,34-236,1990,2,2,180,2.0,1,0.50,4,3,75.0,2,0,0,1,50.0,0,0,0,0,,Matches
Jakub Stolarczyk,pl POL,GK,Leicester City,24-113,2000,6,6,540,6.0,12,2.00,29,17,58.6,1,0,5,0,0.0,0,0,0,0,,Matches
Mark Travers,ie IRL,GK,Bournemouth,25-328,1999,5,5,450,5.0,5,1.00,25,20,80.0,2,2,1,1,20.0,0,0,0,0,,Matches
Bart Verbruggen,nl NED,GK,Brighton,22-236,2002,29,29,"2,610",29.0,46,1.59,110,66,64.5,10,11,8,6,20.7,7,7,0,0,0.0,Matches
Guglielmo Vicario,it ITA,GK,Tottenham,28-186,1996,19,19,"1,710",19.0,21,1.11,78,57,73.1,9,2,8,4,21.1,0,0,0,0,,Matches
Christian Walton,eng ENG,GK,Ipswich Town,29-153,1995,6,6,540,6.0,16,2.67,33,17,57.6,1,1,4,1,16.7,2,2,0,0,0.0,Matches
Danny Ward,wls WAL,GK,Leicester City,31-293,1993,2,1,135,1.5,6,4.00,10,4,40.0,0,0,1,0,0.0,0,0,0,0,,Matches
